사번,프로젝트명,역할,시작일,종료일,기여
GA24017,사옥 이전 프로젝트,총괄,2025-09-21,2025-11-27,현장 운영 총괄
GA24024,사내 업무 자동화 도구,데이터,2024-07-04,2024-08-13,클라이언트 재계약 견인
GA24024,고객 리포트 자동화,개발,2026-08-05,2026-10-22,현장 운영 총괄
GA24033,바로모빌리티 팝업스토어,PM,2024-02-08,2024-06-09,현장 운영 총괄
GA24033,미리내패션 론칭 캠페인,기획,2025-08-09,2025-12-24,예산 10% 절감 운영
GA24041,온새미로리빙 전시 부스 운영,운영,2024-05-25,2024-08-18,신규 프로세스 정착
GA24041,다온게임즈 전시 부스 운영,기획,2024-06-26,2024-07-02,신규 프로세스 정착
GA24041,두루금융 전시 부스 운영,PM,2025-09-26,2025-12-12,산출물 품질 개선
GA24059,바로모빌리티 브랜드 행사,기획,2025-06-22,2025-08-07,협력사 조율 주도
GA24059,바로모빌리티 신제품 프로모션,AE,2026-01-06,2026-05-08,제안 PT 수주 기여
GA24059,라온뷰티 팝업스토어,운영,2026-07-05,2026-10-07,일정 내 무사고 완수
GA24064,미리내패션 론칭 캠페인,PM,2024-09-08,2025-01-17,클라이언트 재계약 견인
GA24064,청솔식품 신제품 프로모션,AE,2025-05-11,2025-06-26,제안 PT 수주 기여
GA24064,바로모빌리티 전시 부스 운영,기획,2026-01-14,2026-05-15,신규 프로세스 정착
GA24064,온새미로리빙 전시 부스 운영,운영,2026-04-07,2026-07-19,현장 운영 총괄
GA24068,솔뫼제약 신제품 프로모션,PM,2024-04-14,2024-08-02,일정 내 무사고 완수
GA24068,청솔식품 론칭 캠페인,AE,2024-09-19,2024-11-03,협력사 조율 주도
GA24068,바로모빌리티 전시 부스 운영,AE,2025-02-18,2025-05-21,예산 10% 절감 운영
GA24087,바로모빌리티 광고 영상 제작,디자인,2026-08-16,2026-12-08,일정 내 무사고 완수
GA24097,늘품커피 브랜드 필름,편집,2024-01-26,2024-03-02,일정 내 무사고 완수
GA24097,두루금융 SNS 콘텐츠 시리즈,촬영,2024-07-10,2024-10-06,산출물 품질 개선
GA24097,청솔식품 SNS 콘텐츠 시리즈,편집,2025-03-10,2025-06-28,제안 PT 수주 기여
GA24103,바로모빌리티 행사 영상 중계,편집,2024-07-05,2024-09-07,산출물 품질 개선
GA24103,라온뷰티 브랜드 필름,디자인,2025-03-28,2025-06-22,제안 PT 수주 기여
GA24111,미리내패션 브랜드 필름,디자인,2024-01-26,2024-03-04,산출물 품질 개선
GA24111,청솔식품 SNS 콘텐츠 시리즈,PD,2024-02-08,2024-05-28,일정 내 무사고 완수
GA24153,라온뷰티 전시 부스 운영,AE,2024-03-08,2024-06-18,협력사 조율 주도
GA24153,솔뫼제약 팝업스토어,운영,2024-03-24,2024-07-15,예산 10% 절감 운영
GA24156,전사 워크숍 기획,총괄,2026-06-04,2026-07-23,예산 10% 절감 운영
GA24156,사옥 이전 프로젝트,총괄,2026-08-12,2026-09-25,신규 프로세스 정착
GA24156,복지제도 개편,총괄,2026-08-17,2026-12-05,산출물 품질 개선
GA25023,사내 업무 자동화 도구,기획,2025-09-10,2025-10-10,제안 PT 수주 기여
GA25023,사내 업무 자동화 도구,기획,2026-04-25,2026-05-12,협력사 조율 주도
GA25023,AI 콘텐츠 파이프라인,개발,2026-06-26,2026-10-01,클라이언트 재계약 견인
GA25051,청솔식품 전시 부스 운영,AE,2025-06-08,2025-08-21,일정 내 무사고 완수
GA25051,늘품커피 론칭 캠페인,운영,2026-06-09,2026-07-17,예산 10% 절감 운영
GA25051,솔뫼제약 론칭 캠페인,PM,2026-08-26,2026-10-08,일정 내 무사고 완수
GA25057,솔뫼제약 팝업스토어,기획,2025-02-11,2025-04-14,신규 프로세스 정착
GA25057,한빛전자 신제품 프로모션,운영,2025-07-20,2025-08-15,현장 운영 총괄
GA25088,솔뫼제약 캠페인 키비주얼,디자인,2025-05-27,2025-07-28,협력사 조율 주도
GA25088,미리내패션 광고 영상 제작,디자인,2025-08-03,2025-12-26,현장 운영 총괄
GA25088,미리내패션 광고 영상 제작,디자인,2026-02-21,2026-05-02,산출물 품질 개선
GA25094,한빛전자 브랜드 필름,편집,2026-02-04,2026-03-16,신규 프로세스 정착
GA25094,라온뷰티 브랜드 필름,촬영,2026-04-26,2026-05-01,산출물 품질 개선
GA25096,한빛전자 광고 영상 제작,편집,2025-04-05,2025-07-26,신규 프로세스 정착
GA25100,청솔식품 SNS 콘텐츠 시리즈,편집,2025-01-05,2025-02-18,예산 10% 절감 운영
GA25106,바로모빌리티 SNS 콘텐츠 시리즈,디자인,2026-03-07,2026-07-14,협력사 조율 주도
GA25106,온새미로리빙 행사 영상 중계,디자인,2026-04-19,2026-05-04,일정 내 무사고 완수
GA25107,한빛전자 SNS 콘텐츠 시리즈,편집,2025-01-18,2025-03-17,협력사 조율 주도
GA25107,바로모빌리티 브랜드 필름,촬영,2026-02-21,2026-04-22,클라이언트 재계약 견인
GA25134,전사 워크숍 기획,운영,2025-07-28,2025-09-25,제안 PT 수주 기여
GA25134,복지제도 개편,총괄,2025-08-23,2025-09-10,신규 프로세스 정착
GA25134,사옥 이전 프로젝트,총괄,2025-09-23,2026-01-08,일정 내 무사고 완수
GA25135,복지제도 개편,운영,2025-02-17,2025-06-10,예산 10% 절감 운영
GA25135,복지제도 개편,총괄,2026-04-14,2026-08-08,현장 운영 총괄
GA25150,한빛전자 행사 영상 중계,촬영,2025-09-04,2026-01-25,현장 운영 총괄
GA26099,한빛전자 브랜드 필름,편집,2026-03-22,2026-06-16,예산 10% 절감 운영
GA26109,한빛전자 행사 영상 중계,디자인,2026-04-11,2026-08-20,신규 프로세스 정착
GA26109,바로모빌리티 SNS 콘텐츠 시리즈,디자인,2026-06-10,2026-09-19,클라이언트 재계약 견인
GA26109,온새미로리빙 행사 영상 중계,촬영,2026-09-11,2026-12-27,클라이언트 재계약 견인
GA26123,두루금융 브랜드 필름,촬영,2026-03-24,2026-05-20,제안 PT 수주 기여
GA26123,늘품커피 행사 영상 중계,디자인,2026-04-19,2026-07-05,협력사 조율 주도
